"","s1"
"(Intercept)",-3.15794243653454
"ABCA13",4.04059863647639
"ABCA2",4.14562412819386
"ABCA7",0
"ABCC1",4.31414731063489
"ABL1",0.769642424555942
"AC0087381",0
"ACAN",1.6318854757614
"ACLY",4.35030626728874
"ACVR1",0.189904653348078
"ACVR1B",0
"ACVR2A",0
"ADAM33",0
"ADAMTS20",2.44518576997923
"ADAMTSL3",0
"AFF1",0
"AFG3L2",0
"AGO2",0.311171822456263
"AGPAT6",0
"AKAP6",4.55636976185423
"AKT1",-0.729229727012621
"AKT2",-0.329805010500072
"AKT3",0
"ALDH1A2",0
"ALK",0
"ALOX12B",0
"AMER1",0
"AMER2",0
"ANGPT1",0
"ANK1",0
"ANK3",3.41793873949276
"ANKRD11",0
"APC",-1.17877589956769
"APOB",2.20987285554788
"AR",-0.388459764366595
"ARAF",0.783220255336912
"ARHGEF4",0
"ARID1A",1.05895194667661
"ARID1B",0
"ARID2",0.574330190197334
"ARID5B",-0.052803521422833
"ARNT",0
"ASAP2",0
"ASTN1",0
"ASTN2",0
"ASXL1",0
"ASXL2",-0.0530481386106003
"ATF7IP",2.50508385719404
"ATM",0.131588923167155
"ATP10A",1.37027237598004
"ATR",0
"ATRX",-1.00606942893468
"AURKA",-0.178246720285583
"AURKB",-0.0612511940865301
"AXIN1",-0.0512577204657348
"AXIN2",0
"AXL",0
"B2M",-0.12184545163583
"BABAM1",0
"BAP1",1.81206731647974
"BARD1",0
"BBC3",-0.21255435720948
"BBX",0
"BCAR1",0
"BCL10",0.174160136115585
"BCL2",0
"BCL2L1",0
"BCL2L11",-0.207324063905524
"BCL6",-0.302515448862814
"BCL9",0
"BCOR",0
"BIRC3",0
"BIRC6",4.49966064774339
"BLM",-0.534028845858874
"BMI1",0
"BMPR1A",0
"BOD1L1",0
"BPTF",0
"BRAF",0
"BRCA1",-0.0640518984648866
"BRCA2",0
"BRD4",0
"BRD7",0.753421505564755
"BRIP1",0
"BRPF3",4.82409128582421
"BSN",1.16963511449292
"BTK",-0.358632087976894
"C11orf30",0
"C1orf145",0
"C1orf147",0
"CALR",0.265675988523264
"CAMTA1",2.24338891290207
"CARD11",-0.249582657999792
"CARM1",0
"CASP8",0
"CBFB",-0.467372524569014
"CBL",0
"CCND1",-0.461947803491294
"CCND2",0
"CCND3",0
"CCNE1",0
"CD274",0
"CD276",0
"CD79A",0
"CD79B",-0.486680857983826
"CD84",0
"CDC42",0
"CDC73",0
"CDH1",-0.233871103238359
"CDH2",0
"CDH22",0
"CDH5",0
"CDH8",0
"CDK10",0
"CDK12",-0.266388519786751
"CDK4",0
"CDK6",0
"CDK8",-0.764622038740415
"CDKN1A",0.0428317113253301
"CDKN1B",0
"CDKN2A",0
"CDKN2Ap14ARF",0
"CDKN2Ap16INK4A",-0.125367728916123
"CDKN2B",-0.304265180931195
"CDKN2BAS1",0
"CDKN2C",-0.370916188794079
"CEBPA",0
"CECR2",0.605071367240116
"CENPA",0
"CGGBP1",0
"CHD5",4.92328430568307
"CHEK1",0.220910033229055
"CHEK2",0
"CIC",0
"CNOT10",0
"CNPPD1",0
"COL11A1",1.81226529943014
"COL7A1",4.20410925616258
"COMP",0
"CREB3L4",0
"CREBBP",-0.194033020034942
"CRKL",0
"CRLF2",0
"CSDE1",0
"CSF1R",-0.279309910235511
"CSF3R",0
"CSMD1",1.84260124024371
"CSMD3",3.09309377677178
"CTCF",-0.393964137135237
"CTLA4",0
"CTNNA2",2.74322896983779
"CTNNB1",-0.541999461896002
"CTNND2",0
"CTTN",0
"CUBN",3.63076498448374
"CUL3",0
"CXCR4",0
"CYLD",0
"CYSLTR2",-0.893625058453557
"DAPK1",0.404613840694855
"DAXX",0
"DCUN1D1",0
"DDB2",0
"DDR2",0
"DDX50",0
"DENND4A",0
"DICER1",-0.0456121118310185
"DIDO1",4.19409655840731
"DIS3",0
"DLC1",0
"DMXL1",0
"DMXL2",2.2315468747784
"DNAJB1",-0.0594305934487951
"DNMT1",-0.386088974116843
"DNMT3A",-0.0880268030824245
"DNMT3B",0
"DOPEY2",0
"DOT1L",0
"DPYSL3",2.03902150649624
"DROSHA",0
"DUSP4",0
"E2F2",0
"E2F3",0
"ECE2",4.88902979116541
"ECT2",0
"EED",0.327455701348087
"EFS",1.04074433942939
"EGFL7",0
"EGFR",-1.40765031368657
"EIF1AX",-0.735927050939117
"EIF4A2",0
"EIF4E",-0.0223410981603193
"EIF4G2",0.0368502565294698
"ELF3",1.19731669935129
"EP300",-0.164448368806926
"EPAS1",0
"EPCAM",-0.40918862811525
"EPHA2",4.60519323860952
"EPHA3",-0.0165803883016982
"EPHA5",0
"EPHA7",0
"EPHB1",0
"EPPK1",3.87352579460564
"ERBB2",0
"ERBB3",0.245122974619151
"ERBB4",0
"ERCC2",0
"ERCC3",0.178112425382708
"ERCC4",0
"ERCC5",-0.701259978682359
"ERF",0
"ERG",0
"ERRFI1",0.397318018762017
"ESR1",-0.629310489931454
"ESRRG",3.69217027124908
"ESX1",5.8980328469689
"ETV1",-0.370704889836344
"ETV6",0
"EXT2",6.07523830666582
"EZH1",0
"EZH2",0
"FAM175A",0
"FAM46C",0
"FAM58A",0
"FANCA",0
"FANCC",0
"FAS",0
"FASTKD2",0
"FAT1",-0.142862281047079
"FAT2",3.86276968628388
"FAT3",0
"FBN2",2.45310714732828
"FBXL13",4.39766494311662
"FBXO15",0
"FBXO31",0
"FBXO4",0
"FBXW7",-0.23630145446643
"FGF19",-0.209396663041748
"FGF23",0
"FGF3",0
"FGF4",0
"FGFR1",0
"FGFR2",1.21870444901647
"FGFR3",-0.513684047320017
"FGFR4",-0.837212801652011
"FH",0
"FHIT",0
"FIP1L1",0
"FKBP3",0
"FLCN",0
"FLT1",-0.643030805458672
"FLT3",0
"FLT4",0.0732873874637373
"FNTB",0
"FOS",3.63172183799773
"FOXA1",-1.05241125586003
"FOXB2",0
"FOXK1",0
"FOXL2",0
"FOXM1",0
"FOXO1",0
"FOXP1",0
"FOXQ1",0
"FRS3",0
"FSIP2",4.37869147901445
"FUBP1",-1.28253089802652
"FYN",0.147868947314983
"GATA1",0.370226692046289
"GATA2",-0.407567282680232
"GATA3",-1.55146970334996
"GATA6",0
"GATM",0
"GLI1",0
"GLI3",0
"GNA11",-0.649470370406566
"GNA12",0
"GNAQ",-1.0763425351297
"GNAS",-0.350902210681598
"GNASAS1",0
"GPAM",0
"GPR112",0.142924111730118
"GPR98",2.5180811271978
"GPS2",-0.403053191193927
"GPT",0
"GREM1",0
"GRIN2A",-0.077962388579722
"GSK3B",0
"GTF2I",0
"GTF3C1",0
"H3F3A",0
"H3F3B",0
"H3F3C",0
"HACE1",0
"HAT1",0
"HCFC1",1.86164128885726
"HDAC2",0
