"","s1"
"(Intercept)",-1.3716928628657
"ABCA13",0
"ABCA2",0
"ABCA7",0
"ABCC1",0
"ABL1",0
"AC004906.3",0
"AC008738.1",0
"ACAN",0
"ACLY",0
"ACVR1",0
"ACVR1B",0
"ACVR2A",0
"ADAM33",0
"ADAMTS20",0
"ADAMTSL3",0
"AFF1",0
"AFG3L2",0
"AGO2",0
"AGPAT6",0
"AKAP6",0
"AKT1",0
"AKT2",0
"AKT3",0
"ALDH1A2",0
"ALK",0
"ALOX12B",0
"AMER1",0
"AMER2",0
"ANGPT1",0
"ANK1",0
"ANK3",0
"ANKRD11",0
"APC",0
"APOB",0
"AR",0
"ARAF",0
"ARHGEF4",0
"ARID1A",0
"ARID1B",0
"ARID2",0
"ARID5B",0
"ARNT",0
"ASAP2",0
"ASTN1",0
"ASTN2",0
"ASXL1",0
"ASXL2",0
"ATF7IP",0
"ATM",0
"ATP10A",0
"ATR",0
"ATRX",0
"AURKA",0
"AURKB",0
"AXIN1",0
"AXIN2",0
"AXL",0.741732637239288
"B2M",0
"BABAM1",0
"BAP1",-0.886526615978975
"BARD1",0
"BBC3",0
"BBX",0
"BCAR1",0
"BCL10",0
"BCL2",0
"BCL2L1",0
"BCL2L11",0
"BCL6",0
"BCL9",0
"BCOR",0
"BIRC3",0
"BIRC6",0
"BLM",0
"BMI1",0
"BMPR1A",0
"BOD1L1",0
"BPTF",0
"BRAF",0
"BRCA1",0.178669395715911
"BRCA2",0.0268907079701339
"BRD4",0
"BRD7",0
"BRIP1",0
"BRPF3",0
"BSN",0
"BTK",0
"C11orf30",0
"C1orf145",0
"C1orf147",0
"CALR",0
"CAMTA1",0
"CARD11",0
"CARM1",0
"CASP8",0
"CBFB",0
"CBL",0
"CCND1",0
"CCND2",0
"CCND3",0
"CCNE1",0
"CD274",0
"CD276",0
"CD79A",0
"CD79B",0
"CD84",0
"CDC42",0
"CDC73",0
"CDH1",0
"CDH2",0
"CDH22",0
"CDH5",0
"CDH8",0
"CDK10",0
"CDK12",0
"CDK4",0
"CDK6",0
"CDK8",0
"CDKN1A",0
"CDKN1B",0
"CDKN2A",0
"CDKN2Ap14ARF",0
"CDKN2Ap16INK4A",0
"CDKN2B",0
"CDKN2B.AS1",0
"CDKN2C",0
"CEBPA",0
"CECR2",0
"CENPA",0
"CGGBP1",0
"CHD5",0
"CHEK1",0
"CHEK2",0
"CIC",0
"CNOT10",0
"CNPPD1",0
"COL11A1",0
"COL7A1",0
"COMP",0
"CREB3L4",0
"CREBBP",0
"CRKL",0
"CRLF2",0
"CSDE1",0
"CSF1R",0
"CSF3R",0
"CSMD1",0
"CSMD3",0
"CTCF",0
"CTD.2561B21.3",0
"CTLA4",0
"CTNNA2",0
"CTNNB1",0.568855976144985
"CTNND2",0
"CTTN",0
"CUBN",0
"CUL3",0
"CXCR4",0
"CYLD",0
"CYSLTR2",0
"DAPK1",0
"DAXX",0
"DCUN1D1",0
"DDB2",0
"DDR2",0
"DDX1",0
"DENND4A",0
"DICER1",0
"DIDO1",0
"DIS3",0
"DLC1",0
"DMXL1",0
"DMXL2",0
"DNAJB1",0
"DNMT1",0
"DNMT3A",0.327956925435239
"DNMT3B",0
"DOPEY2",0
"DOT1L",0
"DPYSL3",0
"DROSHA",1.40572067370101
"DUSP4",0
"E2F2",0
"E2F3",0
"ECE2",0
"ECT2",0
"EED",0.688915493544672
"EFS",0
"EGFL7",0
"EGFR",0.307412805323283
"EIF1AX",0.395694855123596
"EIF4A2",0
"EIF4E",0
"EIF4G2",0
"ELF3",0.061274316823696
"EP300",0
"EPAS1",0
"EPCAM",0
"EPHA2",0
"EPHA3",0
"EPHA5",0
"EPHA7",0
"EPHB1",0
"EPPK1",0
"ERBB2",0.15791639264987
"ERBB3",0.154557352947563
"ERBB4",0
"ERCC2",0
"ERCC3",0
"ERCC4",0
"ERCC5",0
"ERF",0
"ERG",0.033411663120665
"ERRFI1",0
"ESR1",-0.126068367758711
"ESRRG",0
"ESX1",0
"ETV1",0
"ETV6",0
"EXT2",0
"EZH1",0
"EZH2",0
"FAM175A",0
"FAM46C",0.272010420228825
"FAM58A",0
"FANCA",0
"FANCC",0
"FAS",0
"FASTKD2",0
"FAT1",0
"FAT2",0
"FAT3",0
"FBN2",0
"FBXL13",0
"FBXO15",0
"FBXO31",0
"FBXO4",0
"FBXW7",0
"FGF19",0
"FGF23",0
"FGF3",0
"FGF4",0
"FGFR1",0
"FGFR2",0
"FGFR3",0
"FGFR4",0
"FH",0
"FHIT",0
"FIP1L1",0
"FKBP3",0
"FLCN",0
"FLT1",0
"FLT3",0
"FLT4",-0.202378144518696
"FNTB",0
"FOS",0
"FOXA1",0.977458333013995
"FOXB2",0
"FOXK1",0
"FOXL2",0
"FOXM1",0
"FOXO1",0
"FOXP1",0
"FOXQ1",0
"FRS3",0
"FSIP2",0
"FUBP1",0
"FYN",0
"GATA1",0
"GATA2",0
"GATA3",0.0086174080657172
"GATA6",0
"GATM",0
"GLI1",0
"GLI3",0
"GNA11",0.431197689545957
"GNA12",0
"GNAQ",0
"GNAS",1.39462615437087
"GNAS.AS1",0
"GPAM",0
"GPR112",0
"GPR98",0
"GPS2",0
"GPT",0
"GREM1",0
"GRIN2A",0
"GSK3B",0
"GTF2I",0
"GTF3C1",0
"H3F3A",0
"H3F3B",0
"H3F3C",0
"HACE1",0
"HAT1",0
"HCFC1",0
"HDAC2",0
"HECTD3",0
"HGF",0
"HIPK3",0
"HIST1H1C",0
"HIST1H2BD",0
"HIST1H3A",0
"HIST1H3B",0
"HIST1H3C",0
"HIST1H3D",0
"HIST1H3E",0
"HIST1H3F",0
"HIST1H3G",0
"HIST1H3H",0
"HIST1H3I",0
"HIST1H3J",0
"HIST2H3D",0
"HIST3H3",0
"HLA.A",0
"HLA.B",0
"HLCS",0
